id,context,instruction,display_tokens,answer_words,choices,difficulty,type,full_response
241,The travel budget for next month seems too small.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|department|can|increase|it|slightly,whether|really|slightly|the|can|department|increase|it,medium,ask_whether,We should ask whether the department can increase it slightly.
242,The event budget will not cover the new equipment.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|office|can|increase|it|slightly,slightly|the|increase|whether|can|office|really|it,medium,ask_whether,We should ask whether the office can increase it slightly.
243,Our research fund looks too limited this semester.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|committee|can|increase|it|slightly,it|really|the|can|committee|whether|slightly|increase,medium,ask_whether,We should ask whether the committee can increase it slightly.
244,The meal allowance barely covers lunch downtown.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|school|can|raise|it|slightly,can|slightly|whether|really|school|the|raise|it,medium,ask_whether,We should ask whether the school can raise it slightly.
245,The printing budget seems lower than last year.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|manager|can|increase|it|slightly,can|the|it|slightly|increase|manager|really|whether|today,medium,ask_whether,We should ask whether the manager can increase it slightly.
246,The project fund may not cover travel costs.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|team|can|expand|it|slightly,team|it|really|slightly|whether|expand|the|can,medium,ask_whether,We should ask whether the team can expand it slightly.
247,The design grant is smaller than we expected.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|board|can|increase|it|slightly,really|slightly|today|the|whether|increase|it|can|board,medium,ask_whether,We should ask whether the board can increase it slightly.
248,The scholarship amount will not cover housing.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|program|can|raise|it|slightly,today|slightly|whether|raise|can|it|the|really|program,medium,ask_whether,We should ask whether the program can raise it slightly.
249,The festival budget seems tight for advertising.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|sponsors|can|increase|it|slightly,increase|the|whether|really|sponsors|can|it|slightly,medium,ask_whether,We should ask whether the sponsors can increase it slightly.
250,The class trip fund will not cover the bus fee.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|school|can|increase|it|slightly,it|can|slightly|increase|the|school|whether|really|today,medium,ask_whether,We should ask whether the school can increase it slightly.
251,The training budget is too low for materials.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|office|can|raise|it|slightly,raise|it|the|can|slightly|office|whether|really|today,medium,ask_whether,We should ask whether the office can raise it slightly.
252,The club budget looks smaller this term.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|advisor|can|increase|it|slightly,increase|advisor|really|the|today|can|it|whether|slightly,medium,ask_whether,We should ask whether the advisor can increase it slightly.
253,The equipment fund seems short by a little.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|lab|can|increase|it|slightly,really|lab|it|the|today|whether|increase|can|slightly,medium,ask_whether,We should ask whether the lab can increase it slightly.
254,The exhibition budget will not cover framing costs.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|museum|can|expand|it|slightly,it|expand|can|whether|really|museum|slightly|the,medium,ask_whether,We should ask whether the museum can expand it slightly.
255,The outreach budget is too low for flyers.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|department|can|raise|it|slightly,it|today|raise|the|department|really|whether|can|slightly,medium,ask_whether,We should ask whether the department can raise it slightly.
256,Our workshop fund may not cover guest speakers.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|committee|can|increase|it|slightly,increase|whether|it|the|today|slightly|can|really|committee,medium,ask_whether,We should ask whether the committee can increase it slightly.
257,The volunteer program needs a bit more money.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|office|can|expand|it|slightly,it|can|expand|office|slightly|really|whether|the,medium,ask_whether,We should ask whether the office can expand it slightly.
258,The maintenance fund seems too small this year.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|city|can|increase|it|slightly,the|can|increase|slightly|it|really|whether|today|city,medium,ask_whether,We should ask whether the city can increase it slightly.
259,The contest budget cannot cover all the prizes.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|organizers|can|raise|it|slightly,it|raise|slightly|really|can|the|today|organizers|whether,medium,ask_whether,We should ask whether the organizers can raise it slightly.
260,The publication budget is too small for color pages.,Make an appropriate sentence.,We should ask ____ ____ ____ ____ ____ ____ ____.,whether|the|editor|can|increase|it|slightly,today|can|slightly|the|it|increase|really|whether|editor,medium,ask_whether,We should ask whether the editor can increase it slightly.
261,The new app tutorial was confusing.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|settings|menu|was|located,located|settings|the|where|menu|out|was|really|today,medium,could_not_figure,I could not figure out where the settings menu was located.
262,The website instructions were too vague.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|download|button|was|located,located|out|where|button|today|really|was|the|download,medium,could_not_figure,I could not figure out where the download button was located.
263,The registration form changed its layout.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|submit|link|was|located,the|located|link|really|out|submit|where|today|was,medium,could_not_figure,I could not figure out where the submit link was located.
264,The smart TV menu was hard to navigate.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|search|icon|was|located,out|the|where|was|search|really|located|icon|today,medium,could_not_figure,I could not figure out where the search icon was located.
265,The museum app looked different after the update.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|audio|guide|was|located,out|where|the|today|located|audio|guide|was|really,medium,could_not_figure,I could not figure out where the audio guide was located.
266,The travel site redesigned its payment page.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|coupon|box|was|located,located|where|the|really|coupon|was|box|out|today,medium,could_not_figure,I could not figure out where the coupon box was located.
267,The campus portal moved a few options around.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|grade|tab|was|located,really|where|located|was|tab|grade|the|out,medium,could_not_figure,I could not figure out where the grade tab was located.
268,The ticket app introduced a new home screen.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|QR|code|was|located,the|located|QR|really|was|where|out|today|code,medium,could_not_figure,I could not figure out where the QR code was located.
269,The camera interface is different now.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|timer|tool|was|located,where|out|timer|located|today|tool|was|really|the,medium,could_not_figure,I could not figure out where the timer tool was located.
270,The learning platform updated last weekend.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|feedback|page|was|located,today|out|page|where|located|the|feedback|was|really,medium,could_not_figure,I could not figure out where the feedback page was located.
271,The archive website changed its menu.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|search|bar|was|located,today|out|really|where|the|bar|located|was|search,medium,could_not_figure,I could not figure out where the search bar was located.
272,The food delivery app added several icons.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|order|history|was|located,where|out|really|was|order|the|history|located,medium,could_not_figure,I could not figure out where the order history was located.
273,The online form uses a new design.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|save|button|was|located,located|where|button|the|save|really|was|out,medium,could_not_figure,I could not figure out where the save button was located.
274,The editor software looks completely different now.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|export|tool|was|located,located|really|out|where|tool|the|was|export,medium,could_not_figure,I could not figure out where the export tool was located.
275,The fitness app changed after the update.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|workout|plan|was|located,really|located|today|out|was|the|where|plan|workout,medium,could_not_figure,I could not figure out where the workout plan was located.
276,The bank app moved several features.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|transfer|option|was|located,out|transfer|option|located|the|where|was|really,medium,could_not_figure,I could not figure out where the transfer option was located.
277,The map app has a new menu style.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|offline|mode|was|located,the|was|located|offline|really|where|mode|out,medium,could_not_figure,I could not figure out where the offline mode was located.
278,The airline website changed its layout.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|check-in|page|was|located,really|where|was|check-in|out|the|page|located,medium,could_not_figure,I could not figure out where the check-in page was located.
279,The photo editor now has a side panel.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|crop|tool|was|located,located|out|the|where|was|really|crop|tool,medium,could_not_figure,I could not figure out where the crop tool was located.
280,The conference portal was redesigned overnight.,Make an appropriate sentence.,I could not figure ____ ____ ____ ____ ____ ____ ____.,out|where|the|agenda|tab|was|located,out|was|located|really|tab|agenda|where|today|the,medium,could_not_figure,I could not figure out where the agenda tab was located.
281,The science fair winners were announced this afternoon.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|project|won|first|place,really|which|you|first|won|place|project|tell,medium,which_won,Did anyone tell you which project won first place?
282,The art contest results were posted this morning.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|painting|won|first|place,first|really|which|painting|you|place|tell|won,medium,which_won,Did anyone tell you which painting won first place?
283,The debate competition ended late last night.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|team|won|first|place,today|really|tell|place|you|which|team|won|first,medium,which_won,Did anyone tell you which team won first place?
284,The startup pitch event just announced the results.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|company|won|first|place,which|really|company|won|place|first|tell|you,medium,which_won,Did anyone tell you which company won first place?
285,The photo contest closed yesterday evening.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|image|won|first|place,first|place|you|which|really|image|tell|won|today,medium,which_won,Did anyone tell you which image won first place?
286,The design challenge wrapped up after lunch.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|entry|won|first|place,really|which|today|entry|tell|first|place|won|you,medium,which_won,Did anyone tell you which entry won first place?
287,The essay competition results are finally out.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|paper|won|first|place,first|which|paper|won|you|tell|place|really,medium,which_won,Did anyone tell you which paper won first place?
288,The robotics tournament ended an hour ago.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|robot|won|first|place,first|tell|really|robot|place|which|you|won,medium,which_won,Did anyone tell you which robot won first place?
289,The film festival published its awards today.,Make an appropriate sentence.,Did anyone tell ____ ____ ____ ____ ____ ____ ____?,you|which|short|film|won|first|place,place|film|won|first|you|today|really|which|short,medium,which_won,Did anyone tell you which short film won first place?
290,The cooking contest announced the winners online.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|dish|won|first|place,first|really|which|tell|dish|you|won|place,medium,which_won,Did anyone tell you which dish won first place?
291,The language contest ended before noon.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|student|won|first|place,which|student|you|first|tell|really|place|won,medium,which_won,Did anyone tell you which student won first place?
292,The poster competition just released the rankings.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|poster|won|first|place,you|place|poster|won|really|first|tell|which,medium,which_won,Did anyone tell you which poster won first place?
293,The community race posted the final results.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|runner|won|first|place,first|really|won|today|place|tell|you|which|runner,medium,which_won,Did anyone tell you which runner won first place?
294,The music competition shared its results today.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|performer|won|first|place,performer|first|you|tell|today|really|won|place|which,medium,which_won,Did anyone tell you which performer won first place?
295,The innovation fair selected the top team.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|group|won|first|place,which|first|place|won|you|group|tell|really,medium,which_won,Did anyone tell you which group won first place?
296,The architecture award winners were announced tonight.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|proposal|won|first|place,you|proposal|which|won|really|first|place|today|tell,medium,which_won,Did anyone tell you which proposal won first place?
297,The scholarship interview results were posted.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|candidate|won|first|place,place|candidate|you|really|tell|today|which|won|first,medium,which_won,Did anyone tell you which candidate won first place?
298,The speech contest finally ended.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|speaker|won|first|place,speaker|really|first|place|won|today|which|you|tell,medium,which_won,Did anyone tell you which speaker won first place?
299,The coding competition just revealed the rankings.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|team|won|first|place,tell|won|place|which|today|you|first|really|team,medium,which_won,Did anyone tell you which team won first place?
300,The volunteer award ceremony ended this morning.,Make an appropriate sentence.,Did anyone ____ ____ ____ ____ ____ ____ ____?,tell|you|which|program|won|first|place,you|won|really|which|program|tell|place|first,medium,which_won,Did anyone tell you which program won first place?
301,Our class might visit the architecture exhibit tomorrow.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|guided|tour|begins|exactly,really|exactly|when|today|the|begins|guided|tour|remember,medium,remember_when,Do you remember when the guided tour begins exactly?
302,The museum visit is finally happening this weekend.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|first|tour|begins|exactly,remember|first|exactly|the|really|begins|when|tour,medium,remember_when,Do you remember when the first tour begins exactly?
303,The campus workshop starts tomorrow morning.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|opening|session|begins|exactly,the|really|when|opening|begins|exactly|remember|session,medium,remember_when,Do you remember when the opening session begins exactly?
304,The volunteer orientation is on Friday.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|training|session|begins|exactly,really|remember|training|begins|exactly|session|when|the,medium,remember_when,Do you remember when the training session begins exactly?
305,The hiking trip leaves from the station.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|bus|boarding|begins|exactly,boarding|when|begins|exactly|really|remember|bus|the,medium,remember_when,Do you remember when the bus boarding begins exactly?
306,The theater performance opens tonight.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|door|entry|begins|exactly,the|really|door|remember|today|begins|exactly|when|entry,medium,remember_when,Do you remember when the door entry begins exactly?
307,The cooking class is almost full.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|morning|lesson|begins|exactly,morning|today|begins|lesson|when|the|really|remember|exactly,medium,remember_when,Do you remember when the morning lesson begins exactly?
308,The design fair has a keynote speech.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|main|program|begins|exactly,when|exactly|main|really|the|remember|begins|program,medium,remember_when,Do you remember when the main program begins exactly?
309,The library event includes a small workshop.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|second|part|begins|exactly,when|the|part|begins|exactly|second|remember|today|really,medium,remember_when,Do you remember when the second part begins exactly?
310,The language exchange starts after dinner.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|group|activity|begins|exactly,activity|group|exactly|really|remember|the|begins|when,medium,remember_when,Do you remember when the group activity begins exactly?
311,The lab safety course meets this afternoon.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|video|session|begins|exactly,the|video|when|begins|remember|session|exactly|really,medium,remember_when,Do you remember when the video session begins exactly?
312,The mountain trail tour is early tomorrow.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|check-in|process|begins|exactly,today|process|check-in|exactly|remember|the|really|begins|when,medium,remember_when,Do you remember when the check-in process begins exactly?
313,The career fair opens next week.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|company|talk|begins|exactly,when|the|begins|remember|exactly|talk|company|really|today,medium,remember_when,Do you remember when the company talk begins exactly?
314,The painting class starts in the annex.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|studio|session|begins|exactly,session|really|exactly|the|remember|studio|begins|when,medium,remember_when,Do you remember when the studio session begins exactly?
315,The writing seminar includes peer review.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|feedback|round|begins|exactly,when|round|exactly|really|remember|feedback|begins|the|today,medium,remember_when,Do you remember when the feedback round begins exactly?
316,The book festival has an author interview.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|interview|segment|begins|exactly,the|segment|interview|today|begins|when|remember|really|exactly,medium,remember_when,Do you remember when the interview segment begins exactly?
317,The science center is hosting a lab demo.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|live|show|begins|exactly,really|the|remember|exactly|begins|when|live|today|show,medium,remember_when,Do you remember when the live show begins exactly?
318,The school concert has an orchestra warm-up.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|first|piece|begins|exactly,the|first|exactly|remember|really|when|piece|begins|today,medium,remember_when,Do you remember when the first piece begins exactly?
319,The tour company scheduled a harbor cruise.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|boarding|time|begins|exactly,begins|exactly|boarding|when|the|remember|really|time,medium,remember_when,Do you remember when the boarding time begins exactly?
320,The city hall visit requires early check-in.,Make an appropriate sentence.,Do you ____ ____ ____ ____ ____ ____ ____?,remember|when|the|security|line|begins|exactly,remember|when|security|line|really|the|exactly|today|begins,medium,remember_when,Do you remember when the security line begins exactly?
321,I heard the campus café is hiring students again.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,find|today|will|the|start|interviews|out|when|really,medium,find_out_when_hiring,Can you find out when the interviews will start?
322,The bookstore is looking for part-time workers.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|hiring|process|will|start,hiring|process|start|when|will|the|really|out,medium,find_out_when_hiring,Can you find out when the hiring process will start?
323,The research lab needs a new assistant.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|begin,out|begin|interviews|really|find|will|when|the|today,medium,find_out_when_hiring,Can you find out when the interviews will begin?
324,The museum is recruiting weekend guides.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|applications|will|open,will|really|open|out|when|today|applications|find|the,medium,find_out_when_hiring,Can you find out when the applications will open?
325,The company posted a summer internship notice.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,really|when|the|start|find|will|out|interviews,medium,find_out_when_hiring,Can you find out when the interviews will start?
326,The library is hiring for evening shifts.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|screening|calls|will|begin,out|the|calls|begin|screening|will|really|when,medium,find_out_when_hiring,Can you find out when the screening calls will begin?
327,The theater needs extra ushers this season.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|training|sessions|will|start,today|really|training|the|will|out|when|start|sessions,medium,find_out_when_hiring,Can you find out when the training sessions will start?
328,The student center is hiring event staff.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|begin,will|the|find|out|begin|interviews|when|really,medium,find_out_when_hiring,Can you find out when the interviews will begin?
329,The radio station wants a production assistant.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|auditions|will|start,start|will|find|the|out|auditions|really|when,medium,find_out_when_hiring,Can you find out when the auditions will start?
330,The hotel posted a front desk opening.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|applications|will|close,really|the|will|close|find|applications|out|when,medium,find_out_when_hiring,Can you find out when the applications will close?
331,The art studio is hiring a gallery helper.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,out|interviews|find|will|when|start|today|the|really,medium,find_out_when_hiring,Can you find out when the interviews will start?
332,The school newspaper wants new editors.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|selection|process|will|begin,begin|selection|today|when|will|really|the|process|out,medium,find_out_when_hiring,Can you find out when the selection process will begin?
333,The gym is hiring weekend attendants.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,really|the|when|find|interviews|today|out|start|will,medium,find_out_when_hiring,Can you find out when the interviews will start?
334,The travel office needs a student ambassador.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|applications|will|open,out|when|find|really|applications|the|open|will,medium,find_out_when_hiring,Can you find out when the applications will open?
335,The design lab is recruiting new interns.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|begin,today|really|interviews|the|will|begin|out|when|find,medium,find_out_when_hiring,Can you find out when the interviews will begin?
336,The food truck is hiring two servers.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|training|period|will|start,training|period|today|out|when|start|the|will|really,medium,find_out_when_hiring,Can you find out when the training period will start?
337,The city archive needs temporary assistants.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,the|find|today|when|will|start|interviews|really|out,medium,find_out_when_hiring,Can you find out when the interviews will start?
338,The call center posted a new opening.,Make an appropriate sentence.,Can you find ____ ____ ____ ____ ____ ____ ____?,out|when|the|orientation|week|will|start,the|week|when|start|really|will|orientation|out,medium,find_out_when_hiring,Can you find out when the orientation week will start?
339,The language school needs conversation tutors.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|applications|will|close,will|when|close|applications|find|the|really|out,medium,find_out_when_hiring,Can you find out when the applications will close?
340,The music hall is hiring ticket staff.,Make an appropriate sentence.,Can you ____ ____ ____ ____ ____ ____ ____?,find|out|when|the|interviews|will|start,the|really|interviews|find|start|will|when|out,medium,find_out_when_hiring,Can you find out when the interviews will start?
341,The city bus route changed last week.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|stop|is|closest|now,stop|to|closest|which|today|is|now|really|learn,medium,trying_to_learn,I am trying to learn which stop is closest now.
342,The shuttle moved to a new platform.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|gate|is|closest|now,is|now|closest|which|gate|to|learn|really,medium,trying_to_learn,I am trying to learn which gate is closest now.
343,The library moved its returns desk.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|entrance|is|best|now,now|today|to|learn|entrance|best|which|really|is,medium,trying_to_learn,I am trying to learn which entrance is best now.
344,The airport changed all the terminal signs.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|counter|is|open|now,learn|which|now|is|today|counter|to|open|really,medium,trying_to_learn,I am trying to learn which counter is open now.
345,The clinic moved to another floor.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|elevator|is|fastest|now,which|really|elevator|learn|fastest|to|now|is,medium,trying_to_learn,I am trying to learn which elevator is fastest now.
346,The museum created a new visitor route.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|room|is|first|now,now|is|really|to|first|which|today|room|learn,medium,trying_to_learn,I am trying to learn which room is first now.
347,The stadium changed the seat map.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|gate|is|easiest|now,which|now|really|is|to|learn|easiest|gate,medium,trying_to_learn,I am trying to learn which gate is easiest now.
348,The campus opened a new bike parking area.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|rack|is|closest|now,really|learn|today|which|is|now|to|rack|closest,medium,trying_to_learn,I am trying to learn which rack is closest now.
349,The train station changed the departure boards.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|platform|is|correct|now,to|now|learn|really|platform|correct|is|which,medium,trying_to_learn,I am trying to learn which platform is correct now.
350,The office moved our department upstairs.,Make an appropriate sentence.,I am trying to ____ ____ ____ ____ ____ ____ ____.,learn|which|meeting|room|is|ours|now,learn|really|is|room|meeting|now|which|ours,medium,trying_to_learn,I am trying to learn which meeting room is ours now.
351,The conference center changed the floor plan.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|hall|is|ours|now,really|ours|hall|learn|to|now|today|is|which,medium,trying_to_learn,I am trying to learn which hall is ours now.
352,The park added a new entrance.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|path|is|shortest|now,now|to|shortest|which|path|is|learn|really,medium,trying_to_learn,I am trying to learn which path is shortest now.
353,The event changed venues at the last minute.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|building|is|right|now,building|now|is|to|right|learn|which|really,medium,trying_to_learn,I am trying to learn which building is right now.
354,The campus clinic moved the waiting room.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|desk|is|open|now,is|desk|which|open|to|now|really|learn,medium,trying_to_learn,I am trying to learn which desk is open now.
355,The subway station closed one exit.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|exit|is|best|now,which|learn|really|best|to|is|exit|now,medium,trying_to_learn,I am trying to learn which exit is best now.
356,The food court rearranged all the stalls.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|counter|is|open|now,really|learn|now|to|which|today|is|counter|open,medium,trying_to_learn,I am trying to learn which counter is open now.
357,The art fair spread into two halls this year.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|hall|is|first|now,which|hall|now|really|first|is|learn|to,medium,trying_to_learn,I am trying to learn which hall is first now.
358,The resort changed its shuttle pickup points.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|stop|is|right|now,to|which|today|right|stop|now|learn|really|is,medium,trying_to_learn,I am trying to learn which stop is right now.
359,The student center moved the info desk.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|floor|is|correct|now,correct|learn|today|to|is|floor|which|now|really,medium,trying_to_learn,I am trying to learn which floor is correct now.
360,The airport bus now stops at fewer places.,Make an appropriate sentence.,I am trying ____ ____ ____ ____ ____ ____ ____.,to|learn|which|stop|is|closest|now,which|is|really|stop|today|closest|now|to|learn,medium,trying_to_learn,I am trying to learn which stop is closest now.
